ChemicalName,PathwayID,label
1-(1-propynyl)pyrene,KEGG:hsa05204,1
1-(1-propynyl)pyrene,KEGG:hsa00980,1
1-(1-propynyl)pyrene,KEGG:hsa04913,1
1-(1-propynyl)pyrene,KEGG:hsa00140,1
1-(1-propynyl)pyrene,KEGG:hsa00380,1
"1,2,3,4,7,8-hexachlorodibenzofuran",KEGG:hsa05204,1
"1,2,3,4,7,8-hexachlorodibenzofuran",KEGG:hsa00980,1
"1,2,3,4,7,8-hexachlorodibenzofuran",KEGG:hsa04913,1
"1,2,3,4,7,8-hexachlorodibenzofuran",KEGG:hsa00140,1
"1,2,3,4,7,8-hexachlorodibenzofuran",KEGG:hsa00380,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04933,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05010,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05146,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05014,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa01523,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04210,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04215,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa00590,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05219,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05224,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05142,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05204,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05210,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa00982,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa01521,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa01522,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05213,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05169,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05418,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04510,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04068,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05332,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05161,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05160,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05168,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04066,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05166,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05016,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04657,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05321,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05164,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05134,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05140,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04211,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04213,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05144,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05162,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa01100,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa00980,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa05206,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04722,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04064,1
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",KEGG:hsa04621,1
